UNIT_CODE,UNIT_NAME,STATE,REGION
TUIN,Tuskegee Institute National Historic Site,AL,SE
HOBE,Horseshoe Bend National Military Park,AL,SE
NATR,Natchez Trace Parkway,AL,SE
LIRI,Little River Canyon National Preserve,AL,SE
RUCA,Russell Cave National Monument,AL,SE
TUAI,Tuskegee Airmen National Historic Site,AL,SE
SEMO,Selma to Montgomery National Historic Trail,AL,SE
BICR,Birmingham Civil Rights National Monument,AL,SE
FRRI,Freedom Riders National Monument,AL,SE
WICL,President William Jefferson Clinton Birthplace Home National Historic Site,AR,MW
ARPO,Arkansas Post National Memorial,AR,MW
HOSP,Hot Springs National Park,AR,MW
CHSC,Little Rock Central High School National Historic Site,AR,MW
FOSM,Fort Smith National Historic Site,AR,MW
PERI,Pea Ridge National Military Park,AR,MW
BUFF,Buffalo National River,AR,MW
GLCA,Glen Canyon National Recreation Area,AZ,IM
PISP,Pipe Spring National Monument,AZ,IM
CACH,Canyon de Chelly National Monument,AZ,IM
HUTR,Hubbell Trading Post National Historic Site,AZ,IM
NAVA,Navajo National Monument,AZ,IM
WACA,Walnut Canyon National Monument,AZ,IM
SUCR,Sunset Crater Volcano National Monument,AZ,IM
WUPA,Wupatki National Monument,AZ,IM
GRCA,Grand Canyon National Park,AZ,IM
LAKE,Lake Mead National Recreation Area,AZ,PW
PEFO,Petrified Forest National Park,AZ,IM
CAGR,Casa Grande Ruins National Monument,AZ,IM
CHIR,Chiricahua National Monument,AZ,IM
CORO,Coronado National Memorial,AZ,IM
FOBO,Fort Bowie National Historic Site,AZ,IM
MOCA,Montezuma Castle National Monument,AZ,IM
ORPI,Organ Pipe Cactus National Monument,AZ,IM
SAGU,Saguaro National Park,AZ,IM
TONT,Tonto National Monument,AZ,IM
TUMA,Tumacacori National Historical Park,AZ,IM
TUZI,Tuzigoot National Monument,AZ,IM
PIMA,Hohokam Pima National Monument,AZ,IM
CHIS,Channel Islands National Park,CA,PW
DEVA,Death Valley National Park,CA,PW
GOGA,Golden Gate National Recreation Area,CA,PW
EUON,Eugene O'Neill National Historic Site,CA,PW
JOTR,Joshua Tree National Park,CA,PW
MOJA,Mojave National Preserve,CA,PW
LAVO,Lassen Volcanic National Park,CA,PW
LABE,Lava Beds National Monument,CA,PW
PINN,Pinnacles National Park,CA,PW
REDW,Redwood National Park,CA,PW
RORI,Rosie the Riveter/World War II Home Front National Historical Park,CA,PW
JOMU,John Muir National Historic Site,CA,PW
MUWO,Muir Woods National Monument,CA,PW
PORE,Point Reyes National Seashore,CA,PW
SAMO,Santa Monica Mountains National Recreation Area,CA,PW
SEQU,Sequoia National Park,CA,PW
KICA,Kings Canyon National Park,CA,PW
DEPO,Devils Postpile National Monument,CA,PW
WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,CA,PW
MANZ,Manzanar National Historic Site,CA,PW
YOSE,Yosemite National Park,CA,PW
CECH,César E. Chávez National Monument,CA,PW
CAMO,Castle Mountains National Monument,CA,PW
TULE,Tule Lake National Monument,CA,PW
BLCA,Black Canyon of the Gunnison National Park,CO,IM
COLM,Colorado National Monument,CO,IM
CURE,Curecanti National Recreation Area,CO,IM
DINO,Dinosaur National Monument,CO,IM
SAND,Sand Creek Massacre National Historic Site,CO,IM
GRSA,Great Sand Dunes National Park,CO,IM
GRSA,Great Sand Dunes National Preserve,CO,IM
MEVE,Mesa Verde National Park,CO,IM
HOVE,Hovenweep National Monument,CO,IM
YUHO,Yucca House National Monument,CO,IM
ROMO,Rocky Mountain National Park,CO,IM
BEOL,Bent's Old Fort National Historic Site,CO,IM
FLFO,Florissant Fossil Beds National Monument,CO,IM
CHIC,Chickasaw National Recreation Area,CO,IM
WEFA,Weir Farm National Historical Park,CT,NE
APPA,Appalachian National Scenic Trail,CT,NE
NACA,National Capital Parks,DC,NC
CHOH,Chesapeake and Ohio Canal National Historical Park,DC,NC
BEPA,Belmont-Paul Women's Equality National Monument,DC,NC
LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,DC,NC
MALL,National Mall,DC,NC
ROCR,Rock Creek Park,DC,NC
PAAV,Pennsylvania Avenue National Historic Site,DC,NC
MABE,Mary McLeod Bethune Council House National Historic Site,DC,NC
THIS,Theodore Roosevelt Island,DC,NC
WWII,World War II Memorial,DC,NC
FRDE,Franklin Delano Roosevelt Memorial,DC,NC
FOTH,Ford's Theatre National Historic Site,DC,NC
JEFM,Thomas Jefferson Memorial,DC,NC
LINC,Lincoln Memorial,DC,NC
WAMO,Washington Monument,DC,NC
KOWA,Korean War Veterans Memorial,DC,NC
FRDO,Frederick Douglass National Historic Site,DC,NC
CAWO,Carter G. Woodson Home National Historic Site,DC,NC
VIVE,Vietnam Veterans Memorial,DC,NC
COGA,Constitution Gardens,DC,NC
WHHO,White House,DC,NC
MLKM,"Martin Luther King, Jr., Memorial",DC,NC
WWIM,World War I Memorial,DC,NC
DDEM,Dwight D. Eisenhower Memorial,DC,NC
FRST,First State National Historical Park,DE,NE
BICY,Big Cypress National Preserve,FL,SE
CANA,Canaveral National Seashore,FL,SE
BISC,Biscayne National Park,FL,SE
CASA,Castillo de San Marcos National Monument,FL,SE
FOMA,Fort Matanzas National Monument,FL,SE
EVER,Everglades National Park,FL,SE
FOCA,Fort Caroline National Memorial,FL,SE
GUIS,Gulf Islands National Seashore,FL,SE
TIMU,Timucuan Ecological and Historic Preserve,FL,SE
CHAT,Chattahoochee River National Recreation Area,GA,SE
ANDE,Andersonville National Historic Site,GA,SE
CHCH,Chickamauga and Chattanooga National Military Park,GA,SE
FOFR,Fort Frederica National Monument,GA,SE
FOPU,Fort Pulaski National Monument,GA,SE
KEMO,Kennesaw Mountain National Battlefield Park,GA,SE
OCMU,Ocmulgee Mounds National Historical Park,GA,SE
CUIS,Cumberland Island National Seashore,GA,SE
JICA,Jimmy Carter National Historical Park,GA,SE
MALU,"Martin Luther King, Jr., National Historical Park",GA,SE
EFMO,Effigy Mounds National Monument,IA,MW
HEHO,Herbert Hoover National Historic Site,IA,MW
YELL,Yellowstone National Park,ID,IM
CRMO,Craters of the Moon National Monument,ID,PW
CRMP,Craters of the Moon National Preserve,ID,PW
MIIN,Minidoka National Historic Site,ID,PW
NEPE,Nez Perce National Historical Park,ID,PW
CIRO,City of Rocks National Reserve,ID,PW
HAFO,Hagerman Fossil Beds National Monument,ID,PW
LECL,Lewis and Clark National Historic Trail,IL,MW
RRBH,Ronald Reagan Boyhood Home National Historic Site,IL,MW
JEFF,Gateway Arch National Park,IL,MW
LIHO,Lincoln Home National Historic Site,IL,MW
PULL,Pullman National Monument,IL,MW
INDU,Indiana Dunes National Park,IN,MW
LIBO,Lincoln Boyhood National Memorial,IN,MW
GERO,George Rogers Clark National Historical Park,IN,MW
BRVB,Brown v. Board of Education National Historical Park,KS,MW
FOLS,Fort Larned National Historic Site,KS,MW
NICO,Nicodemus National Historic Site,KS,MW
FOSC,Fort Scott National Historic Site,KS,MW
TAPR,Tallgrass Prairie National Preserve,KS,MW
BISO,Big South Fork National River and Recreation Area,KY,SE
CUGA,Cumberland Gap National Historical Park,KY,SE
FODO,Fort Donelson National Battlefield,KY,SE
MACA,Mammoth Cave National Park,KY,SE
ABLI,Abraham Lincoln Birthplace National Historical Park,KY,SE
CANE,Camp Nelson National Monument,KY,SE
MISP,Mill Springs Battlefield National Monument,KY,SE
VICK,Vicksburg National Military Park,LA,SE
CARI,Cane River Creole National Historical Park,LA,SE
JAZZ,New Orleans Jazz National Historical Park,LA,SE
JELA,Jean Lafitte National Historical Park and Preserve,LA,SE
POPO,Poverty Point National Monument,LA,SE
BLRV,Blackstone River Valley National Historical Park,MA,NE
BOST,Boston National Historical Park,MA,NE
SPAR,Springfield Armory National Historic Site,MA,NE
ADAM,Adams National Historical Park,MA,NE
JOFI,John Fitzgerald Kennedy National Historic Site,MA,NE
MIMA,Minute Man National Historical Park,MA,NE
SAMA,Salem Maritime National Historic Site,MA,NE
SAIR,Saugus Iron Works National Historic Site,MA,NE
CACO,Cape Cod National Seashore,MA,NE
LONG,Longfellow House-Washington's Headquarters National Historic Site,MA,NE
BOAF,Boston African American National Historic Site,MA,NE
BOHA,Boston Harbor Islands National Recreation Area,MA,NE
