OID_,UNIT_CODE,UNIT_NAME,STATE,REGION,Lat,Lon
1,ANTI,Antietam National Battlefield,MD,NC,39.462385130000001,-77.735985439999993
2,BRVB,Brown v. Board of Education National Historical Park,KS,MW,39.037664280000001,-95.675740140000002
3,CIRO,City of Rocks National Reserve,ID,PW,42.067142500000003,-113.706301539999998
4,ELMA,El Malpais National Monument,NM,IM,34.786243349999999,-107.977734409999997
5,GRSA,Great Sand Dunes National Park,CO,IM,37.766890380000000,-105.613003160000005
6,ISRO,Isle Royale National Park,MI,MW,48.031037320000003,-88.806730270000003
7,LACH,Lake Chelan National Recreation Area,WA,PW,48.348615809999998,-120.690293620000006
8,MNRR,Missouri National Recreational River,NE,MW,42.733029799999997,-96.907640139999998
9,NEPH,New Philadelphia National Historic Site,IL,MW,39.696083920000000,-90.958263259999995
10,NICO,Nicodemus National Historic Site,KS,MW,39.390360459999997,-99.617842089999996
11,ROMO,Rocky Mountain National Park,CO,IM,40.357336730000000,-105.703648689999994
12,SACN,Saint Croix National Scenic Riverway,MN,MW,46.029330840000000,-92.017163030000006
13,SAGU,Saguaro National Park,AZ,IM,32.170717539999998,-110.618427609999998
14,WOTR,Wolf Trap National Park for the Performing Arts,VA,NC,38.937898050000001,-77.263699509999995
15,REDW,Redwood National Park,CA,PW,41.277605610000002,-124.004445439999998
16,AMME,American Memorial Park,MP,PW,15.215015190000001,145.724001310000006
17,CAJO,Captain John Smith Chesapeake National Historic Trail,MD,NE,37.412249520000003,-76.649341939999999
18,BOST,Boston National Historical Park,MA,NE,42.373265680000003,-71.055377170000000
19,MAVA,Martin Van Buren National Historic Site,NY,NE,42.368293580000000,-73.714159400000000
20,SPAR,Springfield Armory National Historic Site,MA,NE,42.108358629999998,-72.581059109999998
21,ACAD,Acadia National Park,ME,NE,44.337927160000000,-68.245464920000003
22,SACR,Saint Croix Island International Historic Site,ME,NE,45.128698380000003,-67.133602199999999
23,ADAM,Adams National Historical Park,MA,NE,42.256528330000002,-71.011817910000005
24,JOFI,John Fitzgerald Kennedy National Historic Site,MA,NE,42.346934539999999,-71.123230250000006
25,MIMA,Minute Man National Historical Park,MA,NE,42.454901479999997,-71.299926459999995
26,SAMA,Salem Maritime National Historic Site,MA,NE,42.519160059999997,-70.885658860000007
27,SAIR,Saugus Iron Works National Historic Site,MA,NE,42.468499289999997,-71.007759260000000
28,CACO,Cape Cod National Seashore,MA,NE,42.050299680000002,-70.087307409999994
29,ELRO,Eleanor Roosevelt National Historic Site,NY,NE,41.763378359999997,-73.900607539999996
30,LONG,Longfellow House-Washington's Headquarters National Historic Site,MA,NE,42.376992199999997,-71.126374200000001
31,GATE,Gateway National Recreation Area,NJ,NE,40.598429179999997,-73.857163470000003
32,SAPA,Saint Paul's Church National Historic Site,NY,NE,40.892717220000002,-73.825658090000005
33,THRI,Theodore Roosevelt Inaugural National Historic Site,NY,NE,42.901480090000000,-78.872546180000001
34,FOST,Fort Stanwix National Monument,NY,NE,43.210661629999997,-75.455421979999997
35,FIIS,Fire Island National Seashore,NY,NE,40.703147540000003,-72.966238520000005
36,HOFR,Home of Franklin D. Roosevelt National Historic Site,NY,NE,41.764849769999998,-73.925616190000000
37,VAMA,Vanderbilt Mansion National Historic Site,NY,NE,41.797545640000003,-73.941827160000003
38,SARA,Saratoga National Historical Park,NY,NE,42.991926280000001,-73.629540870000000
39,SAGA,Saint-Gaudens National Historical Park,NH,NE,43.500455649999999,-72.373336339999994
40,STLI,Statue of Liberty National Monument,NJ,NE,40.698318129999997,-74.041132059999995
41,EDIS,Thomas Edison National Historical Park,NJ,NE,40.785717820000002,-74.239798570000005
42,MORR,Morristown National Historical Park,NJ,NE,40.767804419999997,-74.537493760000004
43,THRB,Theodore Roosevelt Birthplace National Historic Site,NY,NE,40.738593119999997,-73.989012680000002
44,CACL,Castle Clinton National Monument,NY,NE,40.703475630000000,-74.016777390000001
45,FEHA,Federal Hall National Memorial,NY,NE,40.707310569999997,-74.010260220000006
46,GEGR,General Grant National Memorial,NY,NE,40.813433070000002,-73.963080739999995
47,HAGR,Hamilton Grange National Memorial,NY,NE,40.821343830000004,-73.947209900000004
