UNIT_CODE,UNIT_NAME,STATE,REGION,Unified_Re,Lat,Lon,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME
GRSA,Great Sand Dunes National Preserve,CO,IM,7,37.86394952,-105.5434416,8,109,198170,8109,Saguache
GRSA,Great Sand Dunes National Park,CO,IM,7,37.7765526,-105.6288882,8,109,198170,8109,Saguache
JAGA,James A. Garfield National Historic Site,OH,MW,3,41.66486548,-81.35086557,39,85,1074055,39085,Lake
WHSA,White Sands National Park,NM,IM,7,32.77833593,-106.3253504,35,35,929104,35035,Otero
GICL,Gila Cliff Dwellings National Monument,NM,IM,7,33.22760971,-108.2732958,35,3,929108,35003,Catron
FOBU,Fossil Butte National Monument,WY,IM,7,41.85634277,-110.7624714,56,23,1605076,56023,Lincoln
LIRI,Little River Canyon National Preserve,AL,SE,2,34.4519056,-85.59724642,1,49,161550,1049,DeKalb
BOAF,Boston African American National Historic Site,MA,NE,1,42.35789563,-71.07064043,25,25,606939,25025,Suffolk
BOST,Boston National Historical Park,MA,NE,1,42.37337754,-71.0557492,25,25,606939,25025,Suffolk
SLBE,Sleeping Bear Dunes National Lakeshore,MI,MW,3,45.11150636,-86.01498264,26,89,1622987,26089,Leelanau
DEWA,Delaware Water Gap National Recreation Area,PA,NE,1,41.09883503,-74.94043091,34,37,882236,34037,Sussex
ANDE,Andersonville National Historic Site,GA,SE,2,32.19830322,-84.12989005,13,193,346957,13193,Macon
OBRI,Obed Wild and Scenic River,TN,SE,2,36.084517,-84.72237639,47,129,1639778,47129,Morgan
ASIS,Assateague Island National Seashore,MD,NE,1,38.04733947,-75.24741241,24,47,1668802,24047,Worcester
TUSK,Tule Springs Fossil Beds National Monument,NV,PW,8,36.40603688,-115.3523476,32,3,863600,32003,Clark
MACA,Mammoth Cave National Park,KY,SE,1,37.19758047,-86.13089476,21,61,516877,21061,Edmonson
SARA,Saratoga National Historical Park,NY,NE,1,42.99520473,-73.63143217,36,91,974143,36091,Saratoga
HEHO,Herbert Hoover National Historic Site,IA,MW,4,41.66738336,-91.35150351,19,31,465205,19031,Cedar
FOMC,Fort McHenry National Monument and Historic Shrine,MD,NE,1,39.26395311,-76.58044164,24,510,1702381,24510,Baltimore
CRLA,Crater Lake National Park,OR,PW,"9, 1",42.94106575,-122.1327472,41,35,1155134,41035,Klamath
CAVO,Capulin Volcano National Monument,NM,IM,7,36.78171068,-103.9710428,35,59,929115,35059,Union
RICH,Richmond National Battlefield Park,VA,NE,1,37.57807907,-77.28239737,51,85,1480132,51085,Hanover
PIRO,Pictured Rocks National Lakeshore,MI,MW,3,46.51296947,-86.46665373,26,3,1622944,26003,Alger
NOAT,Noatak National Preserve,AK,AK,11,68.18143909,-159.3944863,2,188,1419979,2188,Northwest Arctic
BELA,Bering Land Bridge National Preserve,AK,AK,11,65.75704848,-163.9208061,2,188,1419979,2188,Northwest Arctic
CAKR,Cape Krusenstern National Monument,AK,AK,11,67.41218543,-163.502573,2,188,1419979,2188,Northwest Arctic
KOVA,Kobuk Valley National Park,AK,AK,11,67.35336474,-159.1988853,2,188,1419979,2188,Northwest Arctic
GAAR,Gates of the Arctic National Preserve,AK,AK,11,66.77953337,-154.9154158,2,188,1419979,2188,Northwest Arctic
STRI,Stones River National Battlefield,TN,SE,2,35.87324129,-86.43416345,47,149,1639787,47149,Rutherford
ARPO,Arkansas Post National Memorial,AR,MW,4,34.02072545,-91.3473276,5,1,63755,5001,Arkansas
MIIN,Minidoka National Historic Site,WA,PW,9,42.68104292,-114.2473752,16,53,395662,16053,Jerome
WACO,Waco Mammoth National Monument,TX,IM,6,31.60465881,-97.17606141,48,309,1383946,48309,McLennan
SITK,Sitka National Historical Park,AK,AK,11,57.04713919,-135.3155149,2,220,1419981,2220,Sitka
CHIS,Channel Islands National Park,CA,PW,8,34.01655127,-119.7396508,6,83,277306,6083,Santa Barbara
CACO,Cape Cod National Seashore,MA,NE,1,41.96046329,-70.00519431,25,1,606927,25001,Barnstable
HONO,Honouliuli National Historic Site,HI,PW,12,21.3881751,-158.057499,15,3,365281,15003,Honolulu
PERL,Pearl Harbor National Memorial,HI,PW,12,21.36699344,-157.9384992,15,3,365281,15003,Honolulu
BISC,Biscayne National Park,FL,SE,2,25.49049476,-80.210247,12,86,295755,12086,Miami-Dade
SAJU,San Juan National Historic Site,PR,SE,2,18.46747669,-66.11141934,72,127,1804544,72127,San Juan
GWCA,George Washington Carver National Monument,MO,MW,4,36.9866416,-94.35552354,29,145,758527,29145,Newton
SAMO,Santa Monica Mountains National Recreation Area,CA,PW,8,34.08377085,-118.7201796,6,37,277283,6037,Los Angeles
PIMA,Hohokam Pima National Monument,AZ,IM,8,33.18713816,-111.9192739,4,21,25447,4021,Pinal
CAGR,Casa Grande Ruins National Monument,AZ,IM,8,32.99702566,-111.5325383,4,21,25447,4021,Pinal
KNRI,Knife River Indian Villages National Historic Site,ND,MW,5,47.36850054,-101.3920156,38,57,1034233,38057,Mercer
FIIS,Fire Island National Seashore,NY,NE,1,40.69219815,-72.99447132,36,103,974149,36103,Suffolk
SCBL,Scotts Bluff National Monument,NE,MW,5,41.8347614,-103.7072431,31,157,835900,31157,Scotts Bluff
PECO,Pecos National Historical Park,NM,IM,7,35.54978449,-105.6908309,35,47,929114,35047,San Miguel
DINO,Dinosaur National Monument,CO,IM,7,40.50596642,-108.9377028,8,81,198156,8081,Moffat
SACR,Saint Croix Island International Historic Site,ME,NE,1,45.12858837,-67.13363651,23,29,581300,23029,Washington
